5.00|2678
4.91|2679
4.76|2681
4.56|2682
8.46|2683
3.37|2684
15.78|2685
10.38|2689
6.69|2690
9.91|2693
7.41|2694
6.15|2696
4.78|2698
17.46|2699
4.22|2700
19.68|2702
4.71|2703
9.09|2708
7.20|2709
8.43|2710
5.13|2713
3.93|2716
4.54|2717
6.45|2718
12.83|2722
11.99|2723
8.43|2724
3.90|2725
7.65|2727
11.79|2729
3.69|2730
5.16|2731
3.15|2732
3.96|2734
4.29|2735
3.51|2736
6.84|2737
4.00|2738
10.21|2740
9.14|2741
4.56|2743
6.87|2745
4.38|2747
4.41|2749
17.11|2750
12.66|2751
6.86|2753
3.23|2755
3.00|2756
6.60|2762
3.24|2763
6.48|2764
13.06|2765
7.86|2766
9.33|2767
7.06|2768
9.33|2769
7.68|2770
15.03|2771
3.51|2772
6.98|2774
14.62|2775
6.62|2776
7.21|2777
8.56|2779
3.39|2782
12.55|2783
3.63|2785
18.52|2786
14.10|2788
4.99|2792
4.26|2794
5.07|2799
8.61|2801
3.74|2802
8.18|2803
3.81|2804
3.26|2805
8.22|2806
11.82|2808
3.99|2811
10.10|2813
7.32|2814
10.29|2815
8.13|2816
10.62|2817
3.21|2818
5.17|2819
3.99|2820
12.36|2823
5.16|2824
9.31|2826
10.35|2827
5.13|2828
7.81|2831
19.33|2833
10.36|2835
7.00|2840
5.97|2841
3.96|2842
7.68|2846
7.16|2848
6.64|2849
3.37|2852
10.20|2854
4.53|2855
5.38|2856
4.38|2858
6.84|2859
7.30|2860
4.47|2861
4.41|2862
4.56|2863
12.70|2864
4.45|2866
4.02|2867
3.45|2868
4.53|2874
7.78|2876
9.78|2877
18.71|2879
3.99|2880
3.97|2883
3.40|2884
10.55|2885
5.29|2887
7.02|2888
3.48|2889
11.28|2891
6.22|2893
4.05|2895
5.10|2896
6.72|2897
8.80|2898
4.44|2901
4.32|2902
3.16|2905
7.23|2906
4.29|2907
5.43|2909
7.17|2910
6.40|2914
11.40|2916
16.57|2917
3.39|2918
9.63|2920
3.66|2921
4.39|2922
3.19|2924
3.42|2928
5.71|2929
7.78|2930
3.57|2940
10.36|2941
5.04|2942
4.89|2947
8.82|2948
3.49|2950
4.98|2951
8.16|2953
12.99|2955
10.24|2956
7.61|2957
16.04|2958
6.66|2959
8.13|2964
5.34|2965
4.53|2966
6.37|2967
8.94|2968
4.97|2969
5.50|2973
5.46|2974
4.15|2975
3.48|2976
3.51|2978
3.76|2979
7.43|2980
6.27|2983
4.89|2984
3.73|2987
5.88|2988
3.42|2990
3.00|2995
7.12|2997
9.48|2998
3.00|2999
7.15|3000
3.99|3002
4.35|3003
4.66|3005
5.40|3006
7.44|3007
5.34|3008
3.06|3009
4.83|3012
3.99|3013
3.27|3014
3.26|3015
11.93|3016
3.49|3018
3.58|3020
5.97|3021
6.12|3022
5.31|3029
8.46|3031
7.75|3034
3.96|3035
13.24|3036
3.87|3037
3.87|3038
8.82|3040
7.44|3043
3.57|3045
7.50|3048
4.33|3049
3.45|3051
5.88|3052
6.24|3053
5.12|3054
4.40|3055
7.39|3056
10.38|3057
10.12|3060
3.63|3061
5.25|3063
12.55|3065
3.39|3066
8.30|3067
4.14|3068
4.01|3069
10.83|3070
10.06|3071
6.66|3073
5.88|3074
10.91|3076
16.30|3085
3.15|3086
4.62|3087
5.28|3088
3.12|3089
10.91|3090
5.91|3091
6.41|3093
6.73|3094
9.00|3095
3.99|3097
6.15|3098
12.01|3099
3.06|3102
14.16|3104
3.59|3105
4.86|3107
5.07|3108
3.30|3109
9.78|3111
6.23|3113
5.67|3114
11.50|3116
3.84|3117
6.24|3118
6.18|3119
9.72|3120
3.22|3121
4.63|3122
13.21|3123
4.21|3126
6.33|3127
4.36|3130
3.33|3131
6.18|3135
4.41|3136
3.57|3137
4.65|3138
8.82|3143
9.27|3145
5.19|3148
10.98|3150
15.82|3151
4.52|3152
3.21|3154
5.38|3155
3.63|3156
13.49|3157
3.24|3159
4.38|3160
11.04|3161
3.33|3162
5.68|3163
4.05|3164
4.59|3165
3.67|3166
4.07|3167
3.85|3168
8.04|3169
8.74|3170
4.23|3172
3.85|3173
8.34|3174
12.75|3175
3.28|3177
3.32|3180
3.48|3181
3.00|3184
4.38|3185
3.06|3187
9.88|3188
3.15|3189
17.27|3192
3.69|3193
9.64|3195
7.32|3197
7.02|3201
7.72|3207
5.01|3208
4.74|3210
15.37|3212
4.20|3213
6.35|3214
5.87|3215
3.03|3216
5.07|3217
5.34|3219
3.95|3220
3.79|3221
3.42|3225
4.89|3226
4.25|3227
3.37|3231
7.68|3232
3.06|3233
4.42|3236
3.96|3237
3.41|3242
4.80|3243
5.26|3245
4.35|3247
4.59|3249
3.54|3256
3.15|3261
4.05|3262
4.50|3265
8.11|3267
3.39|3273
3.46|3275
3.72|3277
6.03|3281
3.06|3284
3.60|3287
5.26|3290
9.51|3294
7.18|3295
7.89|3296
7.01|3298
4.17|3305
7.02|3306
6.81|3307
5.28|3308
3.86|3309
3.46|3310
3.18|3312
9.03|3313
3.84|3314
4.53|3316
3.84|3318
4.14|3320
4.96|3321
5.88|3323
3.48|3324
3.13|3325
10.48|3328
5.79|3331
4.98|3339
4.18|3340
3.36|3343
5.70|3346
12.62|3348
3.99|3353
5.56|3354
8.13|3355
4.26|3361
6.72|3362
9.57|3365
3.96|3366
3.43|3367
7.05|3368
3.54|3369
7.00|3372
9.85|3373
